id	gene	type	rowno	test_code
51814	SIX5	genetic	NULL	LPE639
51822	SLC34A1	genetic	NULL	LPE639
51837	SMARCAL1	genetic	NULL	LPE639
51890	TACR3	genetic	NULL	LPE639
51894	TAF6	genetic	NULL	LPE639
51923	TMEM138	genetic	NULL	LPE639
51936	TNNI3K	genetic	NULL	LPE639
51941	TREM2	genetic	NULL	LPE639
51963	WDPCP	genetic	NULL	LPE639
51964	WDR11	genetic	NULL	LPE639
51983	XRCC4	genetic	NULL	LPE639
51984	XRCC2	genetic	NULL	LPE639
51986	XYLT1	genetic	NULL	LPE639
51992	ZMPSTE24	genetic	NULL	LPE639
52002	ABCD4	genetic	NULL	LPE517
52010	ACVRL1	genetic	NULL	LPE517
52020	AGTR2	genetic	NULL	LPE517
52036	ANOS1	genetic	NULL	LPE517
52091	BSND	genetic	NULL	LPE517
52094	C1QB	genetic	NULL	LPE517
52127	CEP41	genetic	NULL	LPE517
52137	CFI	genetic	NULL	LPE517
52141	CHRNG	genetic	NULL	LPE517
52160	COL5A1	genetic	NULL	LPE517
52161	COQ2	genetic	NULL	LPE517
52184	CYP17A1	genetic	NULL	LPE517
52186	CYP2R1	genetic	NULL	LPE517
52187	CYP21A2	genetic	NULL	LPE517
52191	DCDC2	genetic	NULL	LPE517
52204	DLL4	genetic	NULL	LPE517
52206	DNAAF1	genetic	NULL	LPE517
52217	EMP2	genetic	NULL	LPE517
52235	ETV4	genetic	NULL	LPE517
52291	GATA6	genetic	NULL	LPE517
52294	GCDH	genetic	NULL	LPE517
52329	HOXA13	genetic	NULL	LPE517
52339	HPS1	genetic	NULL	LPE517
52342	HSD3B2	genetic	NULL	LPE517
52361	IRF6	genetic	NULL	LPE517
52362	ITGA6	genetic	NULL	LPE517
52385	KIF14	genetic	NULL	LPE517
52386	KIT	genetic	NULL	LPE517
52388	KLHL3	genetic	NULL	LPE517
52392	LAMA5	genetic	NULL	LPE517
52405	LPIN1	genetic	NULL	LPE517
52407	LONP1	genetic	NULL	LPE517
52412	LTBP4	genetic	NULL	LPE517
52430	MOCOS	genetic	NULL	LPE517
52488	PC	genetic	NULL	LPE517
52493	PDSS1	genetic	NULL	LPE517
52526	PKD2	genetic	NULL	LPE517
52540	POR	genetic	NULL	LPE517
52542	PQBP1	genetic	NULL	LPE517
52562	RAD51C	genetic	NULL	LPE517
52567	RECQL4	genetic	NULL	LPE517
52586	RPS24	genetic	NULL	LPE517
52587	RPL5	genetic	NULL	LPE517
52588	RPS17	genetic	NULL	LPE517
52595	RTTN	genetic	NULL	LPE517
52607	SDHA	genetic	NULL	LPE517
52608	SCNN1G	genetic	NULL	LPE517
52606	SCN4A	genetic	NULL	LPE517
52629	SLC12A3	genetic	NULL	LPE517
52687	STRADA	genetic	NULL	LPE517
52693	TACO1	genetic	NULL	LPE517
52726	TRPC6	genetic	NULL	LPE517
52740	UBE3A	genetic	NULL	LPE517
52741	UBR1	genetic	NULL	LPE517
52763	WDR4	genetic	NULL	LPE517
52767	WNT7A	genetic	NULL	LPE517
52787	ACTN2	genetic	NULL	LPE520
52790	ADCY6	genetic	NULL	LPE520
52793	AGRN	genetic	NULL	LPE520
52798	ALG14	genetic	NULL	LPE520
52803	AP4B1	genetic	NULL	LPE520
52809	AP4M1	genetic	NULL	LPE520
52817	ATP13A2	genetic	NULL	LPE520
52828	BIN1	genetic	NULL	LPE520
52889	DMPK	genetic	NULL	LPE520
52895	DNM2	genetic	NULL	LPE520
52931	FLNC	genetic	NULL	LPE520
52937	GBA2	genetic	NULL	LPE520
52940	GFPT1	genetic	NULL	LPE520
52943	GJB1	genetic	NULL	LPE520
52961	HRAS	genetic	NULL	LPE520
52967	HSPG2	genetic	NULL	LPE520
52988	KLHL9	genetic	NULL	LPE520
52991	LAMB2	genetic	NULL	LPE520
52993	LARGE1	genetic	NULL	LPE520
52998	LIM2	genetic	NULL	LPE520
53001	LPIN1	genetic	NULL	LPE520
53011	MATR3	genetic	NULL	LPE520
53010	MARS2	genetic	NULL	LPE520
53019	MPDU1	genetic	NULL	LPE520
53027	MYBPC3	genetic	NULL	LPE520
53090	PYGM	genetic	NULL	LPE520
53098	REEP1	genetic	NULL	LPE520
53131	SMCHD1	genetic	NULL	LPE520
53141	SPTAN1	genetic	NULL	LPE520
53142	SPG21	genetic	NULL	LPE520
53160	TK2	genetic	NULL	LPE520
53164	TNNT3	genetic	NULL	LPE520
53182	UBA1	genetic	NULL	LPE520
53188	VRK1	genetic	NULL	LPE520
53190	VMA21	genetic	NULL	LPE520
53191	YARS	genetic	NULL	LPE520
51256	SPI1	genetic	NULL	LPE638
51291	TGFB1	genetic	NULL	LPE638
51293	TGFBR2	genetic	NULL	LPE638
51327	UBA1	genetic	NULL	LPE638
51332	UNG	genetic	NULL	LPE638
51354	FANCF	genetic	NULL	LPE639
51358	FANCM	genetic	NULL	LPE639
51360	FAT1	genetic	NULL	LPE639
51375	FGF23	genetic	NULL	LPE639
51385	FLCN	genetic	NULL	LPE639
51388	FOXC1	genetic	NULL	LPE639
51392	FNBP1	genetic	NULL	LPE639
51397	FOXJ1	genetic	NULL	LPE639
51418	GGCX	genetic	NULL	LPE639
51432	GNPTG	genetic	NULL	LPE639
51451	HES7	genetic	NULL	LPE639
51492	IGF1R	genetic	NULL	LPE639
51493	IHH	genetic	NULL	LPE639
51525	KRAS	genetic	NULL	LPE639
51532	LEP	genetic	NULL	LPE639
51553	LTBP4	genetic	NULL	LPE639
51558	MAB21L2	genetic	NULL	LPE639
51560	MAN2B1	genetic	NULL	LPE639
51574	MED12	genetic	NULL	LPE639
51585	MID1	genetic	NULL	LPE639
51588	MKKS	genetic	NULL	LPE639
51598	MSX2	genetic	NULL	LPE639
51601	MYH14	genetic	NULL	LPE639
51613	NEK8	genetic	NULL	LPE639
51628	NOG	genetic	NULL	LPE639
51648	NTRK1	genetic	NULL	LPE639
51692	PHYH	genetic	NULL	LPE639
51693	PICK1	genetic	NULL	LPE639
51726	PREPL	genetic	NULL	LPE639
51731	PROK1	genetic	NULL	LPE639
51751	RAD51C	genetic	NULL	LPE639
51759	RARB	genetic	NULL	LPE639
51760	RASGRP2	genetic	NULL	LPE639
51774	ROR2	genetic	NULL	LPE639
51785	RYK	genetic	NULL	LPE639
51789	SALL4	genetic	NULL	LPE639
